0	1
(+)-7-epi-12-hydroxy-12-oxojasmonoyl-L-phenylalanine	C1CC(=O)[C@H]([C@H]1CC(=O)N[C@@H](CC2=CC=CC=C2)C(=O)[O-])C/C=C\CC(=O)[O-]
(+)-7-epi-12-hydroxyjasmonoyl-L-isoleucine	CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C[C@H]1CCC(=O)[C@H]1C/C=C\CCO
(+)-7-epi-12-hydroxyjasmonoyl-L-phenylalanine	C1CC(=O)[C@H]([C@H]1CC(=O)N[C@@H](CC2=CC=CC=C2)C(=O)[O-])C/C=C\CCO
(+)-7-epi-12-oxojasmonoyl-L-isoleucine	CC[C@H](C)[C@@H](C(=O)[O-])NC(=O)C[C@H]1CCC(=O)[C@H]1C/C=C\CC=O
(+)-7-epi-12-oxojasmonoyl-L-phenylalanine	C1CC(=O)[C@H]([C@H]1CC(=O)N[C@@H](CC2=CC=CC=C2)C(=O)[O-])C/C=C\CC=O
(+)-7-epi-jasmonate	CC/C=C\C[C@H]1[C@H](CCC1=O)CC(=O)[O-]
(+)-7-epi-jasmonoyl-L-alanine	CC/C=C\C[C@H]1[C@H](CCC1=O)CC(=O)N[C@@H](C)C(=O)[O-]
(+)-7-epi-jasmonoyl-L-isoleucine	CC/C=C\C[C@H]1[C@H](CCC1=O)CC(=O)N[C@@H]([C@@H](C)CC)C(=O)[O-]
(+)-7-epi-jasmonoyl-L-phenylalanine	CC/C=C\C[C@H]1[C@H](CCC1=O)CC(=O)N[C@@H](CC2=CC=CC=C2)C(=O)[O-]
(+)-Borneol	C[C@@]12CC[C@@H](C1(C)C)C[C@@H]2O
(+)-Bornyl diphosphate	C[C@@]12CC[C@@H](C1(C)C)C[C@@H]2OP(=O)(O)OP(=O)(O)O
(+)-Camphor	C[C@@]12CC[C@@H](C1(C)C)CC2=O
(+)-Corvol ether A	C[C@H]1CC[C@]2([C@H]3[C@@H]1CC[C@](C3)(O2)C)C(C)C
(+)-Gallocatechin	C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O
(+)-Linalool	CC(=CCC[C@@](C)(C=C)O)C
(+)-Maackiain	C1[C@H]2[C@@H](C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5
(+)-O-methylkolavelool	C[C@H]1CC[C@]2([C@H]([C@]1(C)CCC(C)(C=C)OC)CCC=C2C)C
(+)-Pinoresinol	COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)O
(+)-Pseudoephedrine	C[C@@H]([C@H](C1=CC=CC=C1)O)NC
(+)-Sophorol	C1[C@@H](C(=O)C2=C(O1)C=C(C=C2)O)C3=CC4=C(C=C3O)OCO4
(+)-T-muurolol	CC1=C[C@@H]2[C@H](CC[C@@]([C@@H]2CC1)(C)O)C(C)C
(+)-Tetrandrine	CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@H]6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC
(+)-abscisate	CC1=CC(=O)CC([C@]1(/C=C/C(=C\C(=O)[O-])/C)O)(C)C
(+)-abscisic acid	CC1=CC(=O)CC([C@]1(/C=C/C(=C\C(=O)O)/C)O)(C)C
(+)-abscisic acid	CC1=CC(=O)CC(C1(/C=C/C(=C\C(=O)O)/C)O)(C)C
(+)-abscisic acid	CC1=CC(=O)CC([C@]1(/C=C/C(=C/C(=O)O)/C)O)(C)C
(+)-abscisic acid	CC1=CC(=O)CC(C1(/C=C/C(=C/C(=O)O)/C)O)(C)C
(+)-abscisic acid	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C
(+)-abscisic acid	CC1=CC(=O)CC([C@]1(C=CC(=CC(=O)O)C)O)(C)C
(+)-abscisic acid	CC1=CC(=O)CC([C@@]1(/C=C/C(=C\C(=O)O)/C)O)(C)C
(+)-alpha-amorphene	CC1=C[C@@H]2[C@H](CC1)C(=CC[C@@H]2C(C)C)C
(+)-alpha-barbatene	CC1=CC[C@@]2(C[C@H]1[C@]3([C@@]2(CCC3)C)C)C
(+)-alpha-bulgarene	CC1=C[C@H]2[C@H](CC1)C(=CC[C@H]2C(C)C)C
(+)-alpha-cadinene	CC1=C[C@@H]2[C@@H](CC1)C(=CC[C@H]2C(C)C)C
(+)-alpha-pinene	CC1=CC[C@@H]2C[C@H]1C2(C)C
(+)-alpha-santalene	CC(=CCC[C@@]1(C2C[C@H]3C1([C@H]3C2)C)C)C
(+)-alpha-santalol	C/C(=C/CC[C@@]1(C2CC3C1(C3C2)C)C)/CO
(+)-alpha-terpineol	CC1=CC[C@@H](CC1)C(C)(C)O
(+)-alpha-thujene	CC1=CC[C@@]2([C@H]1C2)C(C)C
(+)-amorpha-4,11-diene	C[C@@H]1CC[C@H]([C@@H]2[C@H]1CCC(=C2)C)C(=C)C
(+)-beta-amorphene	CC1=CC[C@@H]2[C@H](C1)[C@@H](CC=C2C)C(C)C
(+)-beta-barbatene	C[C@@]12CCC(=C)[C@@H](C1)[C@]3([C@@]2(CCC3)C)C
(+)-beta-bulgarene	CC1=CC[C@H]2[C@H](C1)[C@@H](CC=C2C)C(C)C
(+)-beta-cadinene	CC1=CC[C@@H]2[C@@H](C1)[C@@H](CC=C2C)C(C)C
(+)-beta-caryophyllene	C/C/1=C\CCC(=C)[C@@H]2CC([C@H]2CC1)(C)C
(+)-beta-chamigrene	CC1=CC[C@]2(CC1)C(=C)CCCC2(C)C
(+)-beta-muurolene	CC1=CC[C@H]2[C@@H](C1)[C@@H](CC=C2C)C(C)C
(+)-beta-pinene	CC1([C@@H]2CCC(=C)[C@H]1C2)C
(+)-bisdechlorogeodin	CC1=CC(=C2C(=C1)O[C@@]3(C2=O)C(=CC(=O)C=C3OC)C(=O)OC)O
(+)-bornane-2,5-dione	CC1(C2CC(=O)C1(CC2=O)C)C
(+)-borneol	C[C@@]12CC[C@@H](C1(C)C)C[C@@H]2O
(+)-bornyl diphosphate	C[C@@]12CC[C@@H](C1(C)C)C[C@@H]2OP(=O)(O)OP(=O)(O)O
(+)-camphene	CC1([C@@H]2CC[C@@H](C2)C1=C)C
(+)-camphor	C[C@@]12CC[C@@H](C1(C)C)CC2=O
(+)-car-3-ene	CC1=CC[C@@H]2[C@H](C1)C2(C)C
(+)-carvone	CC1=CC[C@@H](CC1=O)C(=C)C
(+)-caryolan-1-ol	C[C@]12CCC[C@](C1)([C@@H]3CC([C@H]3CC2)(C)C)O
(+)-catechin	C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O
(+)-cis,trans-nepetalactol	C[C@H]1CC[C@H]2[C@@H]1[C@@H](OC=C2C)O
(+)-cis-3,4-Dihydrophenanthrene-3,4-diol	C1=CC=C2C(=C1)C=CC3=C2[C@H]([C@H](C=C3)O)O
(+)-cis-3,4-dihydrophenanthrene-3,4-diol	C1=CC=C2C(=C1)C=CC3=C2[C@H]([C@H](C=C3)O)O
(+)-cis-Isopulegone	C[C@@H]1CC[C@@H](C(=O)C1)C(=C)C
(+)-cis-abscisic aldehyde	CC1=CC(=O)CC([C@]1(/C=C/C(=C\C=O)/C)O)(C)C
(+)-cis-isopulegone	C[C@@H]1CC[C@@H](C(=O)C1)C(=C)C
(+)-cis-sabinol	CC(C)[C@@]12C[C@@H]1C(=C)[C@@H](C2)O
(+)-columbianetin	CC(C)([C@@H]1CC2=C(O1)C=CC3=C2OC(=O)C=C3)O
(+)-copalol	C/C(=C\CO)/CC[C@H]1C(=C)CC[C@@H]2[C@@]1(CCCC2(C)C)C
(+)-copalyl diphosphate	C/C(=C\COP(=O)(O)OP(=O)(O)O)/CC[C@H]1C(=C)CC[C@@H]2[C@@]1(CCCC2(C)C)C
(+)-corvol ether B	C[C@H]1CC[C@]23[C@@H]1CC[C@](C2)(O[C@H]3C(C)C)C
(+)-costunolide	C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
(+)-costunolide	CC1=CCC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
(+)-costunolide	CC1=CCCC(=C[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)C
(+)-costunolide	C/C/1=C\CCC(=C[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)C
(+)-costunolide (12,6alpha)	CC1=CCC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
(+)-cubenene	C[C@H]1CC[C@@H]([C@@H]2C1=CCC(=C2)C)C(C)C
(+)-dehydrodiconiferyl acid	COC1=CC(=CC2=C1O[C@@H]([C@H]2CO)C3=CC(=C(C=C3)O)OC)/C=C/C(=O)[O-]
(+)-dehydrodiconiferyl acid aldehyde	COC1=CC(=CC2=C1O[C@@H]([C@H]2C=O)C3=CC(=C(C=C3)O)OC)/C=C/C(=O)[O-]
(+)-dehydrodiconiferyl acid aldehyde	COC1=CC(=CC2=C1O[C@@H]([C@H]2C=O)C3=CC(=C(C=C3)O)OC)/C=C/C(=O)O
(+)-dehydrodiconiferyl acid carboxylate	COC1=CC(=CC2=C1O[C@@H]([C@H]2C(=O)[O-])C3=CC(=C(C=C3)O)OC)/C=C/C(=O)[O-]
(+)-dehydrodiconiferyl acid gem-diol	COC1=CC(=CC2=C1O[C@@H]([C@H]2C(O)O)C3=CC(=C(C=C3)O)OC)/C=C/C(=O)[O-]
(+)-delta-amorphene	CC1=C[C@H]2[C@H](CCC(=C2CC1)C)C(C)C
(+)-delta-amorphene	CC1=CC2C(CCC(=C2CC1)C)C(C)C
(+)-delta-amorphene	CC1=C[C@@H]2[C@@H](CCC(=C2CC1)C)C(C)C
(+)-delta-cadinene	CC1=C[C@H]2[C@@H](CCC(=C2CC1)C)C(C)C
(+)-delta-selinene	CC1=C2C=C(CC[C@]2(CCC1)C)C(C)C
(+)-demethylpiperitol	C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC(=C(C=C5)O)O
(+)-didemethylpinoresinol	C1[C@H]2[C@H](CO[C@@H]2C3=CC(=C(C=C3)O)O)[C@H](O1)C4=CC(=C(C=C4)O)O
(+)-dihydrocarveol	C[C@H]1CC[C@@H](C[C@@H]1O)C(=C)C
(+)-dihydrocarvone	C[C@@H]1CC[C@H](CC1=O)C(=C)C
(+)-dihydrocarvone	CC1CCC(CC1=O)C(=C)C
(+)-dihydrocarvone	C[C@H]1CC[C@@H](CC1=O)C(=C)C
(+)-dihydrokaempferol	C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O
(+)-dihydromyricetin	C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O
(+)-dihydroquercetin	C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
(+)-endo-beta-bergamotene	CC(=CCC[C@]1([C@H]2CCC(=C)[C@@H]1C2)C)C
(+)-epi-alpha-bisabolol	CC1=CC[C@@H](CC1)[C@](C)(CCC=C(C)C)O
(+)-epi-beta-santalene	CC(=CCCC1(C2CCC(C2)C1=C)C)C
(+)-epi-isozizaene	C[C@H]1CCC2=C(C([C@H]3CC[C@@]12C3)(C)C)C
(+)-epiafzelechin	C1[C@@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O
(+)-epicubenol	C[C@H]1CC[C@@H]([C@@H]2[C@]1(CCC(=C2)C)O)C(C)C
(+)-epigallocatechin	C1[C@@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O
(+)-eremophilene	C[C@@H]1CCC=C2[C@]1(C[C@H](CC2)C(=C)C)C
(+)-exo-5-hydroxycamphor	C[C@@]12C[C@H]([C@@H](C1(C)C)CC2=O)O
(+)-fenchone	C[C@]12CC[C@H](C1)C(C2=O)(C)C
(+)-gamma-amorphene	CC1=C[C@H]2[C@@H](CC1)C(=C)CC[C@H]2C(C)C
(+)-gamma-bulgarene	CC1=C[C@H]2[C@H](CC1)C(=C)CC[C@H]2C(C)C
(+)-gamma-cadinene	CC1=C[C@@H]2[C@@H](CC1)C(=C)CC[C@H]2C(C)C
(+)-germacrene A	C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)C)/C
(+)-germacrene D	C/C/1=C\CCC(=C)/C=C/[C@H](CC1)C(C)C
(+)-isoafricanol	C[C@@H]1CC[C@@H]2[C@]1(CC(C[C@@H]3[C@]2(C3)C)(C)C)O
(+)-isoitalicene	C[C@@H]1CC[C@H]2[C@@]13CCC(=C[C@@H]3C2(C)C)C
(+)-isomenthol	C[C@@H]1CC[C@@H]([C@H](C1)O)C(C)C
(+)-isomenthone	C[C@@H]1CC[C@@H](C(=O)C1)C(C)C
(+)-isopimara-7,15-diene	C[C@@]1(CC[C@H]2C(=CC[C@@H]3[C@@]2(CCCC3(C)C)C)C1)C=C
(+)-kolavelool	C[C@H]1CC[C@]2([C@H]([C@]1(C)CCC(C)(C=C)O)CCC=C2C)C
(+)-kolavenyl diphosphate	C[C@H]1CC[C@]2([C@H]([C@]1(C)CC/C(=C/COP(=O)([O-])OP(=O)([O-])[O-])/C)CCC=C2C)C
(+)-kolavenyl diphosphate	C[C@H]1CC[C@]2([C@H]([C@]1(C)CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)CCC=C2C)C
(+)-lariciresinol	COC1=C(C=CC(=C1)C[C@H]2CO[C@@H]([C@H]2CO)C3=CC(=C(C=C3)O)OC)O
(+)-larreatricin	C[C@@H]1[C@@H]([C@@H](O[C@H]1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C
(+)-limonene	CC1=CC[C@@H](CC1)C(=C)C
(+)-maackiain	C1[C@H]2[C@@H](C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5
(+)-marmesin	CC(C)([C@@H]1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)O
(+)-medicarpin	COC1=CC2=C(C=C1)[C@H]3COC4=C([C@H]3O2)C=CC(=C4)O
(+)-menthofuran	C[C@@H]1CCC2=C(C1)OC=C2C
(+)-muconolactone	C1=CC(=O)O[C@H]1CC(=O)O
(+)-neodihydrocarveol	C[C@@H]1CC[C@H](C[C@@H]1O)C(=C)C
(+)-neoisomenthol	C[C@@H]1CC[C@@H]([C@@H](C1)O)C(C)C
(+)-neomenthol	C[C@@H]1CC[C@H]([C@H](C1)O)C(C)C
(+)-nootkatol	C[C@@H]1C[C@@H](C=C2[C@]1(C[C@@H](CC2)C(=C)C)C)O
(+)-nootkatone	C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C
(+)-norpseudoephedrine	C[C@@H]([C@H](C1=CC=CC=C1)O)N
(+)-pinoresinol	COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)O
(+)-piperitol	COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC5=C(C=C4)OCO5)O
(+)-pisatin	COC1=CC2=C(C=C1)[C@@H]3[C@](CO2)(C4=CC5=C(C=C4O3)OCO5)O
(+)-pulegone	C[C@@H]1CCC(=C(C)C)C(=O)C1
(+)-sabinene	CC(C)[C@]12CCC(=C)[C@H]1C2
(+)-sabinone	CC(C)[C@@]12C[C@@H]1C(=C)C(=O)C2
(+)-sativene	CC(C)[C@@H]1CC[C@]2([C@H]3[C@@H]1[C@@H](C2=C)CC3)C
(+)-sativene	CC(C)[C@H]1CC[C@@]2([C@@H]3[C@H]1[C@H](C2=C)CC3)C
(+)-sativene	CC(C)[C@@H]1CC[C@]2(C3C1C(C2=C)CC3)C
(+)-sativene	CC(C)[C@H]1CC[C@@]2(C3C1C(C2=C)CC3)C
(+)-sativene	CC(C)C1CCC2(C3C1C(C2=C)CC3)C
(+)-secoisolariciresinol	COC1=C(C=CC(=C1)C[C@H](CO)[C@H](CC2=CC(=C(C=C2)O)OC)CO)O
(+)-secoisolariciresinol diglucoside	COC1=C(C=CC(=C1)CC(COC2C(C(C(C(O2)CO)O)O)O)C(CC3=CC(=C(C=C3)O)OC)COC4C(C(C(C(O4)CO)O)O)O)O
(+)-secoisolariciresinol diglucoside	COC1=C(C=CC(=C1)C[C@H](CO[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)CO)O)O)O)[C@H](CC3=CC(=C(C=C3)O)OC)CO[C@@H]4[C@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O)O
(+)-secoisolariciresinol monoglucoside	COC1=C(C=CC(=C1)C[C@H](CO)[C@H](CC2=CC(=C(C=C2)O)OC)CO[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)O
(+)-sesamin	C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6
(+)-sesaminol	C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3O)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6
(+)-sesaminol 2-O-beta-D-gentiobioside	C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O)O)OCO4)[C@H](O1)C7=CC8=C(C=C7)OCO8
(+)-sesaminol 2-O-beta-D-gentiotrioside	C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)O)O)O)O)OCO4)[C@H](O1)C8=CC9=C(C=C8)OCO9
(+)-sesaminol 2-O-beta-D-glucoside	C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OCO4)[C@H](O1)C6=CC7=C(C=C6)OCO7
(+)-sesaminol 2-O-beta-D-glucosyl (1->2)-O-[beta-D-glucosyl (1->6)]-beta-D-glucoside	C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)OCO4)[C@H](O1)C8=CC9=C(C=C8)OCO9
(+)-sesamolin	C1[C@@H]2[C@@H](CO[C@H]2OC3=CC4=C(C=C3)OCO4)[C@@H](O1)C5=CC6=C(C=C5)OCO6
(+)-sesamolin	C1C2C(COC2OC3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6
(+)-sesamolin	C1[C@H]2[C@H](CO[C@@H]2OC3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6
(+)-sesamolinol	COC1=C(C=CC(=C1)O[C@H]2[C@@H]3CO[C@H]([C@@H]3CO2)C4=CC5=C(C=C4)OCO5)O
(+)-sesamolinol	COC1=C(C=CC(=C1)O[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC5=C(C=C4)OCO5)O
(+)-taxifolin	C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
(+)-thujan-3-ol	C[C@H]1[C@@H]2C[C@@]2(C[C@H]1O)C(C)C
(+)-thujan-3-ol	C[C@H]1[C@H]2C[C@]2(C[C@@H]1O)C(C)C
(+)-thujan-3-ol	C[C@H]1[C@@H]2C[C@]2(C[C@@H]1O)C(C)C
(+)-thujan-3-one	C[C@H]1[C@H]2C[C@]2(CC1=O)C(C)C
(+)-thujan-3-one	C[C@H]1[C@@H]2C[C@@]2(CC1=O)C(C)C
(+)-thujan-3-one	C[C@H]1[C@@H]2C[C@]2(CC1=O)C(C)C
(+)-thujopsene	CC1=CC[C@]2(CCCC([C@@]23[C@@H]1C3)(C)C)C
(+)-trans-abscisic aldehyde	CC1=CC(=O)CC([C@]1(/C=C/C(=C/C=O)/C)O)(C)C
(+)-trans-carveol	CC1=CC[C@@H](C[C@H]1O)C(=C)C
(+)-trans-isoalliin	C/C=C/S(=O)C[C@@H](C(=O)[O-])[NH3+]
(+)-valencene	C[C@@H]1CCC=C2[C@]1(C[C@@H](CC2)C(=C)C)C
(+/-)-5-[(tert-butylamino)-2'-hydroxypropoxy]-1,2,3,4-tetrahydro-1-naphthol	CC(C)(C)NCC(COC1=CC=CC2=C1CCCC2O)O
(+/-)-5-[(tert-butylamino)-2'-hydroxypropoxy]-3,4-dihydro-1(2H)-naphthalenone	CC(C)(C)NCC(COC1=CC=CC2=C1CCCC2=O)O
(+/-)-pavine	COC1=C(C=C2C3CC4=CC(=C(C=C4C(N3)CC2=C1)OC)OC)OC
(+/-)-trans-acenaphthene-1,2-diol	C1=CC2=C3C(=C1)[C@@H]([C@H](C3=CC=C2)O)O
(-)-(2S)-naringenin	C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
(-)-(S)-limonene	CC1=CC[C@H](CC1)C(=C)C
(-)-(alphaR,betaR)-guaiacylglycerol-beta-guaiacyl ether	COC1=CC=CC=C1O[C@H](CO)[C@@H](C2=CC(=C(C=C2)O)OC)O
(-)-(alphaS,betaR)-guaiacylglycerol-beta-guaiacyl ether	COC1=CC=CC=C1O[C@H](CO)[C@H](C2=CC(=C(C=C2)O)OC)O
(-)-2-carene	CC1=C[C@@H]2[C@@H](C2(C)C)CC1
(-)-2-chloropropionic acid	C[C@@H](C(=O)O)Cl
(-)-3'-methylcatechin	COC1=C(C=CC(=C1)[C@H]2[C@@H](CC3=C(C=C(C=C3O2)O)O)O)O
(-)-4'-demethyl-deoxypodophyllotoxin	COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@@H](CC4=CC5=C(C=C24)OCO5)COC3=O
(-)-4'-demethyl-epipodophyllotoxin	COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O
(-)-4'-demethyldeoxypodophyllotoxin	COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@@H](CC4=CC5=C(C=C24)OCO5)COC3=O
(-)-4'-demethylepipodophyllotoxin	COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](C4=CC5=C(C=C24)OCO5)O
(-)-4'-methoxycyclopenine	CN1C(=O)C2=CC=CC=C2NC(=O)C13C(O3)C4=CC=C(C=C4)OC
(-)-5'-demethylyatein	COC1=CC(=CC(=C1OC)O)C[C@@H]2[C@H](COC2=O)CC3=CC4=C(C=C3)OCO4
(-)-5-Epieremophilene	C[C@H]1CCC=C2[C@]1(C[C@@H](CC2)C(=C)C)C
(-)-5-oxo-1,2-campholide	C[C@@]12CC(=O)[C@@H](C1(C)C)CC(=O)O2
(-)-8-Demethylmaritidine	COC1=C(C=C2CN3CC[C@]4([C@@H]3C[C@@H](C=C4)O)C2=C1)O
(-)-8-demethylmaritidine	COC1=C(C=C2CN3CC[C@]4([C@@H]3C[C@@H](C=C4)O)C2=C1)O
(-)-9beta-pimara-7,15-dien-19-al	C[C@]1(CC[C@@H]2C(=CC[C@@H]3[C@@]2(CCC[C@]3(C)C=O)C)C1)C=C
(-)-9beta-pimara-7,15-dien-19-oate	C[C@]1(CC[C@@H]2C(=CC[C@@H]3[C@@]2(CCC[C@]3(C)C(=O)[O-])C)C1)C=C
